"sektor","naeti","osigbaza","srzapl","godina","quarter"
26,12058,20719643.49,572.761395,2013,2
27,91994,120103339.72,435.183832,2013,2
28,8741,14267974.34,544.101526,2013,2
29,15972,20173877.97,421.025919,2013,2
30,17895,22808444.51,424.84902,2013,2
31,8420,15049033.92,595.718229,2013,2
32,17291,38261512.71,737.585547,2013,2
33,1725,10116862.21,1954.193975,2013,2
34,12643,31002967.83,817.351713,2013,2
35,8858,23851589.43,897.486056,2013,2
36,25815,40912473.42,528.277789,2013,2
37,22230,50972769.84,764.324034,2013,2
38,4306,17081614.59,1322.20873,2013,2
39,3849,6801147.59,588.996933,2013,2
40,47981,86904596.53,603.738929,2013,2
41,8137,20096568.93,823.258732,2013,2
42,20228,48445189.94,798.318995,2013,2
43,32857,73319903.79,743.813253,2013,2
44,644,1555951.71,805.358027,2013,2
45,16734,34296334.88,683.166704,2013,2
46,20519,25616107.79,416.13639,2013,2
47,22860,49668382.82,724.229492,2013,2
48,2038,3269907.73,534.822984,2013,2
49,24706,120647292.82,1627.751221,2013,2
50,1955,9631474.62,1641.635353,2013,2
51,5470,16672653.25,1016.005682,2013,2
52,17508,40895549.35,778.60691,2013,2
53,21896,35349516.2,538.134485,2013,2
54,1310,6677484.74,1698.673299,2013,2
55,120947,202695657.55,558.631853,2013,2
56,16254,35250409.27,722.907371,2013,2
57,5724,9349347.29,544.453021,2013,2
58,331707,597567771.97,600.496392,2013,2
59,22138,50719212.17,763.67104,2013,2
60,137109,172709369.28,419.881334,2013,2
61,23644,57965503.59,817.186691,2013,2
62,78025,122910725.03,525.09121,2013,2
63,1465,4148006.09,943.801158,2013,2
64,2921,12484433.98,1424.513233,2013,2
65,18265,62380784.58,1138.418581,2013,2
66,19179,34796442.82,604.745352,2013,2
67,21600,72954411.3,1125.83968,2013,2
68,56816,201250773.91,1180.702692,2013,2
69,148813,405776296.41,908.915635,2013,2
70,58653,67304838.18,382.498611,2013,2
71,3504,10753965.08,1022.823385,2013,2
72,8583,14317009.02,555.978758,2013,2
73,18388,38657231.48,700.756484,2013,2
74,24657,43187073.04,583.830003,2013,2
75,36677,93659346.38,851.193245,2013,2
76,5541,7761286.82,466.872402,2013,2
