oblast,period,ikonaktiwni,regbezr,pod29bezr
Силистра,201108,45518,8079,1327
Сливен,201108,78097,11267,2793
Смолян,201108,58440,10584,1387
гр. София,201108,665475,21196,3739
Софийска,201108,109181,13237,3283
Стара Загора,201108,147697,12138,2868
Търговище,201108,49168,9198,1222
Хасково,201108,104465,10588,2134
Шумен,201108,76138,12438,2161
Ямбол,201108,55779,7097,1732
Общо за страната,201109,3282740,309971,60496
Благоевград,201109,151333,17611,3567
Бургас,201109,188448,11044,2133
Варна,201109,222697,13514,2857
Велико Търново,201109,108453,10121,1644
Видин,201109,37828,7014,1391
Враца,201109,74912,12457,2281
Габрово,201109,54178,3403,533
Добрич,201109,79873,7983,1419
Кърджали,201109,60746,8049,1090
Кюстендил,201109,56911,7124,1536
Ловеч,201109,55868,8082,1493
Монтана,201109,60045,11169,2282
Пазарджик,201109,115297,16566,3471
Перник,201109,60837,5496,1120
Плевен,201109,107641,13516,2503
Пловдив,201109,302681,24849,5896
Разград,201109,52154,8742,1327
Русе,201109,102880,9182,1519
Силистра,201109,45518,7733,1239
Сливен,201109,78097,11134,2815
Смолян,201109,58440,10447,1387
гр. София,201109,665475,20826,3700
Софийска,201109,109181,13070,3272
Стара Загора,201109,147697,11998,2858
Търговище,201109,49168,9010,1216
Хасково,201109,104465,10474,2087
Шумен,201109,76138,12338,2141
Ямбол,201109,55779,7020,1719
Общо за страната,201110,3282740,314118,62496
Благоевград,201110,151333,17355,3536
Бургас,201110,188448,13731,2672
Варна,201110,222697,15214,3261
Велико Търново,201110,108453,10184,1735
Видин,201110,37828,6289,1239
Враца,201110,74912,12069,2242
Габрово,201110,54178,3462,580
Добрич,201110,79873,8826,1619
Кърджали,201110,60746,7930,1099
Кюстендил,201110,56911,6942,1504
Ловеч,201110,55868,8137,1564
Монтана,201110,60045,10607,2179
Пазарджик,201110,115297,16566,3521
Перник,201110,60837,5429,1122
Плевен,201110,107641,13446,2550
Пловдив,201110,302681,25280,6022
Разград,201110,52154,8520,1297
Русе,201110,102880,9152,1506
Силистра,201110,45518,7628,1250
Сливен,201110,78097,11548,2990
Смолян,201110,58440,10236,1429
гр. София,201110,665475,21781,4079
Софийска,201110,109181,12801,3184
Стара Загора,201110,147697,12117,2932
Търговище,201110,49168,8887,1230
Хасково,201110,104465,10699,2186
Шумен,201110,76138,12195,2204
Ямбол,201110,55779,7087,1764
Общо за страната,201111,3282740,327270,65665
Благоевград,201111,151333,17975,3690
Бургас,201111,188448,15319,3055
Варна,201111,222697,16660,3583
Велико Търново,201111,108453,10882,1896
Видин,201111,37828,6545,1275
Враца,201111,74912,12368,2336
Габрово,201111,54178,3654,600
Добрич,201111,79873,9620,1812
Кърджали,201111,60746,8104,1152
Кюстендил,201111,56911,7070,1534
Ловеч,201111,55868,8335,1570
Монтана,201111,60045,10987,2288
Пазарджик,201111,115297,16600,3603
Перник,201111,60837,5487,1123
Плевен,201111,107641,14270,2766
Пловдив,201111,302681,26201,6273
Разград,201111,52154,8766,1361
Русе,201111,102880,9477,1587
Силистра,201111,45518,7835,1301
Сливен,201111,78097,12012,3116
Смолян,201111,58440,10735,1503
гр. София,201111,665475,22402,4069
Софийска,201111,109181,12946,3267
Стара Загора,201111,147697,12666,3047
Търговище,201111,49168,9043,1303
Хасково,201111,104465,11240,2317
Шумен,201111,76138,12570,2346
Ямбол,201111,55779,7501,1892
Общо за страната,201112,3282740,342422,67838
Благоевград,201112,151333,18689,3786
Бургас,201112,188448,16285,3181
Варна,201112,222697,17379,3769
Велико Търново,201112,108453,11834,2022
