;;левове;
BG322;2020II;1143;
BG322;2020III;1114;
BG322;2020IV;1072;
BG322;2020V;1128;
BG322;2020VI;1182;
BG322;2020VII;1187;
BG322;2020VIII;1162;
BG322;2020IX;1226;
BG324;2008I;390;
BG324;2008II;396;
BG324;2008III;416;
BG324;2008IV;422;
BG324;2008V;429;
BG324;2008VI;448;
BG324;2008VII;438;
BG324;2008VIII;445;
BG324;2008IX;468;
BG324;2008X;458;
BG324;2008XI;450;
BG324;2008XII;481;
BG324;2009I;468;
BG324;2009II;481;
BG324;2009III;485;
BG324;2009IV;489;
BG324;2009V;486;
BG324;2009VI;487;
BG324;2009VII;490;
BG324;2009VIII;496;
BG324;2009IX;519;
BG324;2009X;498;
BG324;2009XI;509;
BG324;2009XII;533;
BG324;2010I;486;
BG324;2010II;481;
BG324;2010III;489;
BG324;2010IV;507;
BG324;2010V;501;
BG324;2010VI;501;
BG324;2010VII;508;
BG324;2010VIII;498;
BG324;2010IX;531;
BG324;2010X;503;
BG324;2010XI;511;
BG324;2010XII;525;
BG324;2011I;493;
BG324;2011II;490;
BG324;2011III;503;
BG324;2011IV;517;
BG324;2011V;525;
BG324;2011VI;532;
BG324;2011VII;513;
BG324;2011VIII;511;
BG324;2011IX;535;
BG324;2011X;534;
BG324;2011XI;540;
BG324;2011XII;565;
BG324;2012I;547;
BG324;2012II;536;
BG324;2012III;565;
BG324;2012IV;582;
BG324;2012V;594;
BG324;2012VI;652;
BG324;2012VII;641;
BG324;2012VIII;598;
BG324;2012IX;622;
BG324;2012X;619;
BG324;2012XI;617;
BG324;2012XII;642;
BG324;2013I;611;
BG324;2013II;586;
BG324;2013III;605;
BG324;2013IV;623;
BG324;2013V;631;
BG324;2013VI;614;
BG324;2013VII;656;
BG324;2013VIII;648;
BG324;2013IX;655;
BG324;2013X;645;
BG324;2013XI;671;
BG324;2013XII;671;
BG324;2014I;673;
BG324;2014II;617;
BG324;2014III;675;
BG324;2014IV;675;
BG324;2014V;654;
BG324;2014VI;666;
BG324;2014VII;756;
BG324;2014VIII;719;
BG324;2014IX;712;
BG324;2014X;830;
BG324;2014XI;692;
BG324;2014XII;710;
BG324;2015I;660;
BG324;2015II;651;
BG324;2015III;729;
BG324;2015IV;719;
BG324;2015V;702;
BG324;2015VI;687;
BG324;2015VII;794;
BG324;2015VIII;729;
BG324;2015IX;810;
BG324;2015X;755;
BG324;2015XI;765;
BG324;2015XII;767;
BG324;2016I;709;
BG324;2016II;758;
BG324;2016III;772;
BG324;2016IV;766;
BG324;2016V;749;
BG324;2016VI;751;
BG324;2016VII;879;
BG324;2016VIII;778;
BG324;2016IX;824;
BG324;2016X;913;
BG324;2016XI;805;
BG324;2016XII;832;
BG324;2017I;801;
BG324;2017II;791;
BG324;2017III;821;
BG324;2017IV;835;
BG324;2017V;832;
BG324;2017VI;820;
BG324;2017VII;876;
BG324;2017VIII;814;
BG324;2017IX;1025;
BG324;2017X;891;
